Date,Market Return Forecast,Portfolio Return Forecast
2020-08-24,1.2477996053312326,1.2936121544808676
2020-08-25,1.2550840439611206,1.3004041205128978
2020-08-26,1.2511831984790773,1.2972859521257192
2020-08-27,1.2545798979907636,1.3002040416012808
2020-08-28,1.2528876211918163,1.2990766182931759
2020-08-31,1.2544124661579539,1.3004143014999532
2020-09-01,1.2553309926928247,1.3016757711819265
2020-09-02,1.2541710138420061,1.3004804633077274
2020-09-03,1.2573244608149845,1.3035755897996666
2020-09-04,1.2550406844882045,1.30167919939314
2020-09-07,1.2578402807260074,1.3041959547481907
2020-09-08,1.2566299303156658,1.3034127328687257
2020-09-09,1.2580035170935826,1.304616193636775
2020-09-10,1.2583371298736874,1.3051997207462103
2020-09-11,1.258249121285014,1.3051205620891042
2020-09-14,1.2598276571567397,1.3067457474350053
2020-09-15,1.258910413362619,1.306042448206126
2020-09-16,1.2607573472910942,1.3077802355405403
2020-09-17,1.2600797579906378,1.307395125163777
2020-09-18,1.2613113156189153,1.3085276689464627
2020-09-21,1.2614490724997935,1.3088798475857093
2020-09-22,1.2618301243916854,1.3092754144141634
2020-09-23,1.2627281497404483,1.3102599505960604
2020-09-24,1.2625404557767328,1.3102102237110815
2020-09-25,1.2637487556668978,1.31140439066394
2020-09-28,1.2635235020542308,1.31138080656485
2020-09-29,1.2645301764562051,1.3123550337122332
2020-09-30,1.2646742129813209,1.3126761510044003
2020-10-01,1.2652317716062413,1.313257435012758
2020-10-02,1.2658208301032219,1.3139501760798038
